record,title,url,doi,summary,authors,abstract,type
39,Evidence of the impacts of metal mining and the effectiveness of mining mitigation measures on social–ecological systems in Arctic and boreal regions: a systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0152-8,10.1186/s13750-019-0152-8,"Mining activities, including prospecting, exploration, construction, operation, maintenance, expansion, abandonment, decommissioning and repurposing of a mine can impact social and environmental systems in a r...","Neal R. Haddaway, Steven J. Cooke, Pamela Lesser, Biljana Macura, Annika E. Nilsson, Jessica J. Taylor and Kaisa Raito","Background Mining activities, including prospecting, exploration, construction, operation, maintenance, expansion, abandonment, decommissioning and repurposing of a mine can impact social and environmental systems in a range of positive and negative, and direct and indirect ways. Mining can yield a range of benefits to societies, but it may also cause conflict, not least in relation to above-ground and sub-surface land use. Similarly, mining can alter environments, but remediation and mitigation can restore systems. Boreal and Arctic regions are sensitive to impacts from development, both on social and environmental systems. Native ecosystems and aboriginal human communities are typically affected by multiple stressors, including climate change and pollution, for example. Methods We will search a suite of bibliographic databases, online search engines and organisational websites for relevant research literature using a tested search strategy. We will also make a call for evidence to stakeholders that have been identified in the wider 3MK project (https://osf.io/cvh3u/). We will screen identified and retrieved articles at two distinct stages (title and abstract, and full text) according to a predetermined set of inclusion criteria, with consistency checks at each level to ensure criteria can be made operational. We will then extract detailed information relating to causal linkages between actions or impacts and measured outcomes, along with descriptive information about the articles and studies and enter data into an interactive systematic map database. We will visualise this database on an Evidence Atlas (an interactive, cartographic map) and identify knowledge gaps and clusters using Heat Maps (cross-tabulations of important variables, such as mineral type and studied impacts). We will identify good research practices that may support researchers in selecting the best study designs where these are clear in the evidence base.",SMP
40,Evidence of the environmental impact of noise pollution on biodiversity: a systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0146-6,10.1186/s13750-019-0146-6,"For decades, biodiversity has suffered massive losses worldwide. Urbanization is one of the major drivers of extinction because it leads to the physical fragmentation and loss of natural habitats and it is ass...","Romain Sordello, Frédérique Flamerie De Lachapelle, Barbara Livoreil and Sylvie Vanpeene","Background For decades, biodiversity has suffered massive losses worldwide. Urbanization is one of the major drivers of extinction because it leads to the physical fragmentation and loss of natural habitats and it is associated with related effects, e.g. pollution and in particular noise pollution given that many man-made sounds are generated in cities (e.g. industrial and traffic noise, etc.). However, all human activities generate sounds, even far from any human habitation (e.g. motor boats on lakes, aircraft in the air, etc.). Ecological research now deals increasingly with the effects of noise pollution on biodiversity. Many studies have shown the impacts of anthropogenic noise and concluded that it is potentially a threat to life on Earth. The present work describes a protocol to systematically map evidence of the environmental impact of noise pollution on biodiversity. The resulting map will inform on the species most studied and on the demonstrated impacts. This will be useful for further primary research by identifying knowledge gaps and in view of further analysis, such as systematic reviews. Methods Searches will include peer-reviewed and grey literature published in English and French. Two online databases will be searched using English terms and search consistency will be assessed with a test list. No geographical restrictions will be applied. The subject population will include all species. Exposures will include all types of man-made sounds (industrial, traffic, etc.) in all types of environments (or media) (terrestrial, aerial, aquatic), including all contexts and sound origins (spontaneous or recorded sounds, in situ or laboratory studies, etc.). All relevant outcomes will be considered (space use, reproduction, communication, abundance, etc.). An open-access database will be produced with all relevant studies selected during the three screening stages. For each study, the database will contain metadata on key variables of interest (species, types of sound, outcomes, etc.). This database will be available in conjunction with a map report describing the mapping process and the evidence base with summary figures and tables of the study characteristics.",SMP
41,What is the effectiveness of using conspecific or heterospecific acoustic playbacks for the attraction of animals for wildlife management? A systematic review protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0149-3,10.1186/s13750-019-0149-3,"Many animals are attracted to the sounds of their conspecifics and some are attracted to the sounds of other species. Therefore, wildlife managers have begun to capitalize on this attraction to lure animals to...",Breanna J. Putman and Daniel T. Blumstein,"Background Many animals are attracted to the sounds of their conspecifics and some are attracted to the sounds of other species. Therefore, wildlife managers have begun to capitalize on this attraction to lure animals to specific places by broadcasting vocalizations—a method referred to as acoustic playback. Playbacks have been conducted to attract animals for capture, encourage birds to use specific nest boxes, attract animals to safe locations where they can breed, or to lure animals to habitats away from human disturbances. However, there has been no evaluation of the general effectiveness of this intervention on the attraction of animals for wildlife management. We describe a protocol to systematically review the literature of the effectiveness of using playbacks so that conservation practitioners can make informed wildlife management decisions. Methods The review will examine primary field studies that use acoustic playbacks to attract animals for wildlife management. Playbacks could be of conspecifics, heterospecifics, or both. We will search various bibliographic databases, online search engines, and specialist websites for relevant studies. We will screen studies first on title and abstract, then on full text. We will only include studies that measure quantitative results. Relevant outcomes will include the attraction of animals to playbacks and encompass various management goals: to capture the animal, to persuade the animal to use a new breeding location, and/or to persuade the animal to settle in a location during the study duration. Studies must be based on comparison between conditions before and after intervention, on comparison between treatment and control plots, or both. Inter-reviewer consistency in article inclusion will be performed with 10% of the titles and abstracts and 10% of the full texts. We will critically appraise the literature based on study type and design, sample sizes, study duration, and other aspects of methodology. We will extract data and meta-data including various potential effect modifiers (e.g., taxon). Finally, we will evaluate the effectiveness of playbacks through a narrative synthesis of the evidence, and quantitative synthesis (i.e., meta-analysis) if sufficient data (more than two studies) of similar outcomes are found.",SRP
42,What evidence exists relating to effectiveness of ecotechnologies in agriculture for the recovery and reuse of carbon and nutrients in the Baltic and boreo-temperate regions? A systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0150-x,10.1186/s13750-019-0150-x,"The degradation of the water quality of the Baltic Sea is an ongoing problem, despite investments in measures to reduce external inputs of pollutants and nutrients from both diffuse and point sources. Excessiv...","Neal R. Haddaway, Mikołaj Piniewski and Biljana Macura","Background The degradation of the water quality of the Baltic Sea is an ongoing problem, despite investments in measures to reduce external inputs of pollutants and nutrients from both diffuse and point sources. Excessive inputs of nutrients coming from the surrounding land are among the primary causes of the Baltic Sea eutrophication. Diffuse sources, of which most originate from agricultural activities, are two dominant riverine pollution pathways for both nitrogen and phosphorus. Recently, there is growing attention on the reuse of carbon, nitrogen and phosphorus from agricultural waste streams. However, to our knowledge, no comprehensive and systematic assessment of ecotechnologies focusing on recovery or reuse of these substances in the agricultural sector is available. Methods This map will examine what evidence exists relating to effectiveness of ecotechnologies (here defined as ‘human interventions in social-ecological systems in the form of practices and/or biological, physical, and chemical processes designed to minimise harm to the environment and provide services of value to society’) in agriculture for the reuse of carbon and/or nutrients (nitrogen and phosphorus) in the Baltic Sea region and boreo-temperate systems. We will search for both academic and grey literature: English language searches will be performed in 4 bibliographic databases and search platforms, and Google Scholar, while searches in 38 specialist websites will be performed in English, Finnish, Polish and Swedish. The searches will be restricted to the period 2013 to 2017. Eligibility screening will be conducted at two levels: title and abstract (screened concurrently for efficiency) and full text. Meta-data will be extracted from eligible studies including bibliographic details, study location, ecotechnology name and description, type of outcome (i.e. recovered or reused carbon and/or nutrients), type of ecotechnology in terms of recovery source, and type of reuse (in terms of the end-product). Findings will be presented narratively and in a searchable geographically explicit database, visualised in an evidence atlas (an interactive geographical information system). Knowledge gaps and knowledge clusters in the evidence base will be identified and described.",SMP
43,What is the evidence that ecosystem components or functions have an impact on infectious diseases? A systematic review protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0147-5,10.1186/s13750-019-0147-5,"Many infectious pathogens can be transmitted from animals to humans and vice versa, or by animals (especially arthropods) to humans. Such diseases are called zoonotic and/or vector-borne diseases. To control o...","Léa Lugassy, Ludivine Amdouni-Boursier, Haoues Alout, Romuald Berrebi, Christophe Boëte, Franck Boué, Nathalie Boulanger, Jean-François Cosson, Thierry Durand, Michel de Garine-Wichatitsky, Sylvain Larrat, Marie Moinet, Catherine Moulia, Nonito Pagès, Olivier Plantard, Vincent Robert…","Background Many infectious pathogens can be transmitted from animals to humans and vice versa, or by animals (especially arthropods) to humans. Such diseases are called zoonotic and/or vector-borne diseases. To control or prevent them, it is often recommended to target population reduction of host or vector species, through preventive culling or insecticide use for example. But these types of destructive interventions have shown several limits altering their efficiency, including acquired resistance of arthropods to insecticides, unpredicted change in the ecology of host populations, unexpected negative functional consequences on ecosystems, as well as economic embrittlement when livestock is concerned. An alternative pathway of action would be to rely on the functioning of ecosystems, and on their careful management, to regulate diseases and thus reduce their impact on human health. In this perspective, a thorough evaluation of the conditions that can potentially promote such a positive regulation of infectious pathogens by ecosystems, and their efficiency, is needed. Here, we present the protocol of a systematic review that will evaluate the scientific evidence existing on potential links between ecosystem components or functions and 14 vector-borne and zoonotic diseases impacting human health. Methods We will search for studies that tested the effect of changes in (i) biological communities, and (ii) habitats and landscapes, on diseases. Scientific literature from 5 publication databases will be screened in a 3-rounds process: title, abstract and full-text screening. At each stage, articles will be either rejected or kept for the next round, depending on whether they fall in the exclusion or inclusion criteria. We will present results in two parts: a systematic map and a systematic review. The systematic map will present, for the 14 diseases, the number of publications, their geographical distribution, the type of ecosystem component/function they studied, as well as the host(s) in which epidemiological measurements have been performed. From this systematic map, we will identify groups of articles that allow for critical appraisal, i.e. groups of articles that studied the effect of the same ecosystem component/function on the same disease. Only those articles will be included in the systematic review. The validity of these articles will be assessed by critical appraisal and presented as a narrative synthesis with confidence levels.",SRP
44,A systematic map of evidence on the contribution of forests to poverty alleviation,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0148-4,10.1186/s13750-019-0148-4,Forests provide an essential resource to the livelihoods of an estimated 20% of the global population. The contribution of forest ecosystems and forest-based resources to poverty reduction is increasingly emph...,"Samantha H. Cheng, Kavita MacLeod, Sofia Ahlroth, Stefanie Onder, Emilie Perge, Priya Shyamsundar, Pushpendra Rana, Ruth Garside, Patti Kristjanson, Madeleine C. McKinnon and Daniel C. Miller","Background Forests provide an essential resource to the livelihoods of an estimated 20% of the global population. The contribution of forest ecosystems and forest-based resources to poverty reduction is increasingly emphasized in international policy discourse and conservation and development investments. However, evidence measuring the effect of forest-based activities on poverty outcomes remains scattered and unclear. Lack of systematic understanding of forest-poverty relationships, in turn, inhibits research, policymaking, and efficient financial resource allocation. Methods To identify relevant studies for inclusion in this systematic map we searched six bibliographic databases, 15 organizational websites, eight systematic evidence syntheses (reviews and maps), and solicited information from key informants. Search results were screened for relevance against predefined inclusion criteria at title, abstract, and full text levels, according to a published protocol. Included articles were coded using a predefined framework. Trends in the evidence, knowledge gaps and relatively well-researched sub-topics are reported in a narrative synthesis. Occurrence and extent of existing evidence about links between interventions and outcomes are presented in a visual heatmap. Data are available through the open access Evidence for Nature and People Data Portal (http://www.natureandpeopleevidence.org). Results A total of 242 articles were included in the systematic map database. Included articles measured effects of 14 forest-based intervention types on 11 poverty dimensions. The majority of the evidence base (72%) examined links between productivity-enhancement strategies (e.g. forest management, agroforestry, and habitat management) and monetary income and/or social capital outcomes. Other areas with high occurrence of articles include linkages between interventions involving governance, individual rights/empowerment or linked enterprises/livelihood alternatives with impacts on monetary income from direct sale of goods. A key knowledge gap was on the impacts of investment-based interventions (i.e. enhancing produced, human, and social capitals). Another was the impacts of forest-based interventions on financial capital (savings, debt), non-monetary benefits, and health. Conclusions The evidence base on forest-based productive activities and poverty alleviation is growing but displays a number of biases in the distribution of articles on key linkages. Priorities for future systematic reviews and evaluations include in-depth examinations into the impacts of rights-based activities (e.g. governance, empowerment) on poverty dimensions; and productivity-enhancing activities on social capital. More comprehensive and robust evidence is needed to better understand the synergies and trade-offs among the different objectives of forest conservation and management and variation in outcomes for different social groups in different social-ecological contexts.",SM
45,"Engaging environmental policy-makers with systematic reviews: challenges, solutions and lessons learned",https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-018-0144-0,10.1186/s13750-018-0144-0,"The creation and accumulation of robust bodies of knowledge, along with their dissemination, utilisation and integration in decision support are key to improving the use of evidence in decision-making. Systema...","Alexandra M. Collins, Deborah Coughlin and Nicola Randall","The creation and accumulation of robust bodies of knowledge, along with their dissemination, utilisation and integration in decision support are key to improving the use of evidence in decision-making. Systematic reviews (SRs), through their emphasis on transparency, replicability and rigour, offer numerous benefits throughout the policy-making cycle and for improving the use of evidence in environmental policy-making. As a result there have been numerous calls to increase the use of SRs in environmental policy-making. This commentary paper introduces the challenges of engaging policy-makers with SRs and, using experiences of producing SRs with Government Departments and Agencies within the UK and Europe, identifies possible solutions and shares our lessons learned. It highlights that co-production can help to overcome a number of challenges by ensuring that review questions are policy-relevant, that the context of the review is taken into consideration and that review’s findings are communicated so that they are recognised and used in policy decision-making processes. Additionally, a pragmatic approach to the review’s methodology may be required to respond to policy-making requirements. Here, a risk-based approach can communicate the trade-offs between the rigour and timeliness of the review. Ensuring that systematic approaches are upheld at all times can help address impartiality concerns and can develop skills in both reviewers and policy-makers to increase awareness of systematic methods, leading to changes in practice and culture within decision-making organisations and the promotion of evidence informed policy development and decisions.",Commentary
46,What ecotechnologies exist for recycling carbon and nutrients from domestic wastewater? A systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-018-0145-z,10.1186/s13750-018-0145-z,"Pollution of the Baltic Sea continues to be a problem. Major terrestrial sources of nutrient emissions to the Baltic Sea are agriculture and wastewater, both major causes of eutrophication. Wastewater contains...","Neal R. Haddaway, Solveig L. Johannesdottir, Mikołaj Piniewski and Biljana Macura","Background Pollution of the Baltic Sea continues to be a problem. Major terrestrial sources of nutrient emissions to the Baltic Sea are agriculture and wastewater, both major causes of eutrophication. Wastewater contains nutrients and organic matter that could constitute valuable products such as agricultural fertilizers and source of energy. With the EU’s action plan for circular economy, waste management and resource utilization is central. Thus the integration of resource recovery to wastewater management could create benefits beyond the wastewater sector. There is a growing interest in resource recovery from wastewater. However, there is no systematic overview of the literature on technologies to recover nutrients and carbon from wastewater sources done to date. Methods This systematic map will identify a representative list of studies on ecotechnologies for reusing carbon and nutrients (nitrogen and phosphorus) from domestic wastewater, which includes e.g. sewage sludge and wastewater fractions. Searches will be performed in five bibliographic databases, one search engine and 38 specialist websites. Searches will mainly be performed in English, search for literature in specialist websites will also include Finnish, Polish and Swedish. Coding and meta-data extraction will include information on ecotechnology name and short description, reuse outcome (i.e. reuse of carbon, nitrogen and/or phosphorus), type of reuse (i.e. whether it is explicit or implicit), study country and location, latitude and longitude. All screening and coding will be done after initial consistency checking. The outcomes of this systematic map will be a searchable database of coded studies. Findings will be presented in a geo-informational system (i.e. an evidence atlas) and knowledge gaps and clusters will be visualised via heat maps.",SMP
47,Scientific evidence for sustainable plant disease protection strategies for the main arable crops in Sweden. A systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-018-0141-3,10.1186/s13750-018-0141-3,"Efficient and sustainable plant protection is of great economic and ecological significance for global crop production. A number of challenges, e.g. climate change, population growth and global trade, put incr...","Anna Berlin, Helena Nordström Källström, Anders Lindgren and Åke Olson","Background Efficient and sustainable plant protection is of great economic and ecological significance for global crop production. A number of challenges, e.g. climate change, population growth and global trade, put increasing demands on future crop production and crop protection. This necessitates an increase in crop productivity with less environmental impact while maintaining good food quality and food security. To meet these challenges, it is essential that the recommendations provided to growers are efficient and correct, which can only be ensured by evidence-based  recommendations based on outcomes from scientific studies. Methods and output The aim of these systematic maps is to compile scientific evidence for different plant disease protection strategies for the main arable crops grown in Sweden. Six major crops (wheat, barley, oat, potato, sugar beet and oilseed rape) have been selected based on the area under production, the annual production, the economic importance, and the amount of pesticide used against diseases in these crops in Sweden. All methods to manage diseases will be considered, including cropping system, pesticide application, biological control methods, as well as combinations of methods and integrated pest management. These systematic maps will only deal with field studies of relevance for agricultural practices in Sweden, although we expect that the results will be applicable for northern Europe as a whole. The main outcome to be used will be productivity measured as yield per area. Plant health and pathogen reduction will be included as a proxy for potential increase in crop quality and yield. This will provide a systematic overview of the plant disease protection measures that have been reported in the scientific literature. The study will result in one searchable database per crop that may be used as a catalogue of evidence for researchers and stakeholders, especially authorities and advisory organizations. The systematic maps will aid in the identification of areas that need further research and guide funding agencies and policymakers when deciding where research resources should be allocated. It will also help to select topics for future systematic reviews and meta-studies within the field of plant protection.",SMP
48,Cassava farming practices and their agricultural and environmental impacts: a systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-018-0142-2,10.1186/s13750-018-0142-2,"Cassava (Manihot esculenta) is a staple crop that is important for food security in the tropics. However, cassava farming can have severe environmental impacts, such as habitat destruction and soil degradation, i...","Gorm E. Shackelford, Neal R. Haddaway, Hope O. Usieta, Pieter Pypers, Silviu O. Petrovan and William J. Sutherland","Background Cassava (Manihot esculenta) is a staple crop that is important for food security in the tropics. However, cassava farming can have severe environmental impacts, such as habitat destruction and soil degradation, if it is not carefully managed. Therefore, a wide range of agricultural and environmental outcomes should be considered when cassava farming practices are recommended as “good agricultural practices”. We propose a systematic map of research on cassava farming practices and their impacts on yield, quality, profitability, soil, water, wildlife, pathogens, pests, weeds, and other agricultural and environmental outcomes. This map will improve our knowledge of the multifunctionality of cassava farming practices, by answering several questions: Which studies have measured the impacts of cassava farming practices on agricultural and/or environmental outcomes? Which practices and outcomes have been studied, in which countries, and when? Methods We will search for studies of “cassava OR mandioca OR manihot OR manioc OR yuca” in four publication databases (AGRICOLA, AGRIS, Scopus, Web of Science), two repositories of grey literature (including publications from the International Center for Tropical Agriculture and the International Institute of Tropical Agriculture, which have worked extensively on cassava), and the Conservation Evidence database. We will screen the search results using eligibility criteria that are transparently reported and consistently applied. We will not critically appraise the validity of the studies that are included in the map, because we see this map as a subject-wide evidence base that could be used for multiple methods of evidence synthesis, with different criteria for critical appraisal. We have developed a classification of agricultural practices and a classification of agri-environmental outcomes, and we will use these classifications (“taxonomies” or “terminological ontologies”) when coding studies. We have developed a web application (http://www.metadataset.com) with drop-down menus for screening and coding. We will analyse the number of studies by practice, outcome, country, and year, and we will present the results as a searchable database with interactive geographical maps (an “evidence atlas”) that will show knowledge gaps and knowledge clusters.",SMP
49,What do we know about the impacts of the Marine Stewardship Council seafood ecolabelling program? A systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-018-0143-1,10.1186/s13750-018-0143-1,Voluntary sustainability standards and eco-labels are market-based mechanisms used to encourage producers and consumers toward environmental sustainability. The Marine Stewardship Council (MSC) is one such pro...,"Ashleigh Arton, Anthony Leiman, Gillian Petrokofsky, Hilde Toonen, Francis Neat and Catherine S. Longo","Background Voluntary sustainability standards and eco-labels are market-based mechanisms used to encourage producers and consumers toward environmental sustainability. The Marine Stewardship Council (MSC) is one such program which aims to improve the state of the world’s oceans and promote a sustainable seafood market. Now in its 21st year, with approximately 14% of global fisheries landings certified, there is growing evidence of the program’s impacts (direct and indirect) on factors from fisheries management and consumer awareness to coastal communities’ livelihoods and international law. To better understand the program as a whole, the proposed systematic map will collate and describe published research on the environmental, social and economic effects of the MSC program, and indicate the prevalence of disciplines or topics and study designs in this literature. Areas considered of greater interest, knowledge gaps, and future research priorities will be identified. Methods This systematic map protocol describes how research regarding the MSC will be searched, identified and described. All research on the MSC and its effects (direct and indirect) will be included. The review is not limited to effects on certified fisheries but will include those on supply chain companies, socio-economics of coastal communities, governments, biological populations and ecosystems, NGOs and other stakeholders impacted by or potentially influenced by the MSC. The search scope includes studies from MSC’s foundation in 1997 to the present. To identify studies, pre-determined inclusion and exclusion criteria will be used at the title, abstract and full text levels. In addition to the use of bibliographic databases and internet search engines, the authors will call for and search for grey-literature. The final systematic map will be presented in a descriptive report detailing the focus, extent, and occurrence of research on the MSC’s impacts, taking special care to map the disciplines focused on the programme and the study design of research.",SMP
50,What is the impact of continuous cover forestry compared to clearcut forestry on stand-level biodiversity in boreal and temperate forests? A systematic review protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-018-0138-y,10.1186/s13750-018-0138-y,"The ecosystem services provided by forests are essential for societal well-being. Production forests are increasingly expected to provide a range of ecosystem services in addition to wood biomass, as well as t...","Meelis Seedre, Adam Felton and Matts Lindbladh","Background The ecosystem services provided by forests are essential for societal well-being. Production forests are increasingly expected to provide a range of ecosystem services in addition to wood biomass, as well as the biodiversity upon which many of these services depend. Production forests can be managed using different methods that affect the habitat provided and the biodiversity supported. Clearcutting (CC) is a widely used forest management system that has been criticised due to its negative effects on biodiversity. Alternative less intensive forest management systems have been developed with the hope of producing comparable levels of biomass with fewer negative impacts on forest biodiversity. One of these alternatives is continuous cover forestry (CCF); a management system that always maintains tree cover in an uneven-aged production forest stand. Many studies have been conducted which contrast the effects of CCF and CC on biodiversity with varying results. The aim of the review is to explore how CCF system compares to CC in terms of outcomes for terrestrial forest biodiversity. Methods Due to the diverse vocabulary used to describe CCF, a systematic search for terms was carried out and a comprehensive search string will be used to maximise the likelihood of finding all relevant papers. We will gather, summarise and synthesise primary field studies, both peer-reviewed and grey literature, from temperate and boreal forest comparing biodiversity in CCF and CC stands. Species richness and abundance of plants, animals and fungi will be used to conduct a meta-analysis. Other biodiversity indicators and indices will be used for a narrative synthesis. As the effects of forest management depend on local conditions, we place a special emphasis on exploring the influence of various effect modifiers.",SRP
51,What spatially explicit quantitative evidence exists that shows the effect of land tenure on illegal hunting of endangered terrestrial mammals in sub-Saharan Africa? A systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-018-0139-x,10.1186/s13750-018-0139-x,"Over the last two decades there has been an increase in the demand for land in Sub Saharan Africa, particularly from foreign agribusiness investment to provide food for an increasing human population. The majo...","Isla Duporge, Timothy Hodgetts and Maria Brett","Background Over the last two decades there has been an increase in the demand for land in Sub Saharan Africa, particularly from foreign agribusiness investment to provide food for an increasing human population. The majority of land outside of protected areas in sub-Saharan Africa is under customary tenure. Due to poor land administration in the region, communities living in undocumented land areas tend to be at greater risk of eviction from increasing liberalisation of land markets. To prevent local displacement and disturbance to investment caused by land disputes tenure clarification is growing in importance on national and international agendas. Land conversion can fragment wildlife habitat while reducing the suitable range areas of terrestrial mammal populations on the continent. Simultaneously illegal hunting is on the rise for a wide variety of taxa driven by a demand for food and income from the sale of animal products. To enable a better understanding of how land tenure arrangements impact upon spatial variations in illegal hunting, this protocol sets out the parameters for an evidence map which will collate and analyse the spatially explicit quantitative evidence that exists showing the effect of land tenure on illegal hunting of endangered terrestrial mammals in sub-Saharan Africa. Sub-Saharan Africa is the region of focus as it contains the highest number of terrestrial mammals listed as vulnerable, endangered or critically endangered by the International Union for Conservation of Nature. Taking stock of what methods have been used to gather data and where evidence exists can guide future research in this area while informing conservation interventions. Methods This evidence map will compare: (1) data availability on the spatial distribution of illicit hunting of endangered terrestrial mammals across different land tenure regimes in sub-Saharan Africa; (2) research methodologies that have primarily been used to collect quantitative data on illegal hunting and comparability of existing data; (3) preferences in the research body toward particular taxa and geographical areas, (4) the evidence map will provide an analysis on the influence other environmental and anthropogenic determinants that influence the spatial distribution of illicit hunting incidences, e.g., proximity to roads, water bodies, range patrol bases etc. Eight academic databases and numerous organisation repositories will be searched for relevant studies by three authors. Double screening will be carried out on all articles to locate studies that meet the specified inclusion criteria, for inclusion studies must contain spatially explicit quantitative data on illegal hunting of endangered terrestrial mammals as defined by the International Union for the Conservation of Nature. Relevant information from studies will be extracted to a custom-made extraction form. The resulting map will consist of a narrative synthesis, descriptive statistics and a heat map in the form of a matrix. By providing an overview of the evidence base the resulting map can inform future meta-analyses by showing where there is sufficient comparable data while guiding conservation interventions by indicating geographical areas where species are most at risk.",SMP
52,Open Synthesis: on the need for evidence synthesis to embrace Open Science,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-018-0140-4,10.1186/s13750-018-0140-4,"The Open Science movement can be broadly summarised as aiming to promote integrity, repeatability and transparency across all aspects of research, from data collection to publication. Systematic reviews and sy...",Neal R. Haddaway,"The Open Science movement can be broadly summarised as aiming to promote integrity, repeatability and transparency across all aspects of research, from data collection to publication. Systematic reviews and systematic maps aim to provide a reliable synthesis of the evidence on a particular topic, making use of methods that seek to maximise repeatability and comprehensives whilst minimising subjectivity and bias. The central tenet of repeatability is operationalised by transparently reporting methodological activities in detail, such that all actions could be replicated and verified. To date, evidence synthesis has only partially embraced Open Science, typically striving for Open Methodology and Open Access, and occasionally providing sufficient information to be considered to have Open Data for some published reviews. Evidence synthesis communities needs to better embrace Open Science not only to balance knowledge access and increase efficiency, but also to increase reliability, trust and reuse of information collected and synthesised within a review: concepts fundamental to systematic reviews and maps. All aspects of Open Science should be embraced: Open Methodology, Open Data, Open Source and Open Access. In doing so, evidence synthesis can be made more equal, more efficient and more trustworthy. I provide concrete recommendations of how CEE and others can fully embrace Open Synthesis.",Commentary
53,What evidence is available on the drivers of grassland ecosystem stability across a range of outcome measurements: a systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-018-0137-z,10.1186/s13750-018-0137-z,"Recently there has been considerable focus on the ecosystem services concept which has resulted in important advancements in biodiversity conservation across land management scales. Many have, however, caution...","Stuart Demmer, Kevin Kirkman and Michelle Tedder","Background Recently there has been considerable focus on the ecosystem services concept which has resulted in important advancements in biodiversity conservation across land management scales. Many have, however, cautioned against the ecosystem services approach because of its focus only on certain aspects of the ecosystem which may be unsustainable in the long term. This has encouraged calls for deeper study into ecosystem functioning using an holistic ecosystem multifunctionality framework. Here greater biodiversity is thought to facilitate greater functioning leading to more sustainable ecosystems. Although ecosystem multifunctionality is a relatively recent development, the general premise is based on the hypothesis that diversity begets stability. However, several key review syntheses have consistently called for ecosystem stability driver-outcome relationship studies to extend beyond traditional measurements. Understanding these relationships requires holistic approaches which are often challenging to investigate experimentally due to resource constraints. Systematically mapping out the relationships between various stability drivers and outcomes could provide a more empirical basis on which both the ecosystem multifunctionality and services land management frameworks could be based. This work outlines the protocol for the first systematic map which will identify and catalogue diversity–stability related studies within the grassland biome. The outcomes of this study will produce a searchable database of the body of literature relevant to the debate and suggest future research directions in both empirical and applied ecology fields. Methods Relevant studies will be sourced from online databases. Inclusion criteria will be applied to the returned articles to identify studies relevant to the primary question; what evidence is available on the drivers of grassland ecosystem stability across a range of outcome measurements. These inclusion criteria will be based on (1) subject population—the grassland biome; (2) possible ecosystem stability drivers and comparators (i.e. measures of diversity, functioning, food web connectedness, and disturbances); and (3) stability outcomes considering all measures of ecosystem stability (i.e. coefficients of variation, changes in ecosystem functionality, resistance to disturbances and invasions, return rates following disturbance). Studies will be screened for relevance and included articles will be critically appraised for meta-analysis and systematic review potential. A narrative synthesis, together with a searchable and expandable database, will be compiled to catalogue the relevant studies. Descriptive summary statistics and bibliometric network analyses will also be presented.",SMP
